,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc,cv_score
0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
1,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
2,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
3,0.8,0.0,0.888888888888889,0.0,0.8571428571428571,1.0,0.8333333333333334
4,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,0.8055555555555555
6,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777777
7,1.0,1.0,1.0,1.0,1.0,1.0,0.8055555555555555
8,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
9,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
10,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
12,1.0,1.0,0.8,1.0,0.8571428571428571,1.0,0.8888888888888888
13,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
14,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
15,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
16,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,0.0,1.0,0.0,1.0,1.0,0.9166666666666666
21,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
22,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
23,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
24,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
25,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
26,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
27,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
