,train_recall,test_recall,train_f1,test_f1,train_acc,test_acc,cv_score
0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.9
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.7142857142857143,0.0,0.8333333333333333,0.0,0.7142857142857143,0.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.9
7,1.0,1.0,1.0,1.0,1.0,1.0,0.9
8,1.0,1.0,1.0,1.0,1.0,1.0,0.9
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,1.0
12,0.75,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.7142857142857143,0.0,0.8333333333333333,0.0,0.7142857142857143,0.0,1.0
16,1.0,0.0,1.0,0.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,0.9
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,0.9
21,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.9
22,1.0,1.0,1.0,1.0,1.0,1.0,0.9
23,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.7142857142857143,0.0,0.8333333333333333,0.0,0.7142857142857143,0.0,1.0
27,0.7142857142857143,0.0,0.8333333333333333,0.0,0.7142857142857143,0.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
