,F1_tr,F1_ts,recall_tr,recall_ts,precision_tr,precision_ts
0,0.894220284,0.878552972,0.877944325,0.848585691,0.910436714,0.909090909
1,0.884275279,0.868809731,0.870552612,0.875656743,0.897736144,0.860585198
2,0.845858092,0.872323553,0.811535882,0.832072617,0.882567469,0.915141431
3,0.965412391,0.965283658,0.954169797,0.964467005,0.976172175,0.964467005
4,0.909432544,0.939368061,0.882567469,0.946643718,0.93725794,0.930626058
5,0.864531069,0.888129804,0.860876249,0.895008606,0.867544539,0.879864636
6,0.822249093,0.848256362,0.821917808,0.831792976,0.821917808,0.863723608
7,0.960251869,0.949554896,0.959874115,0.958083832,0.959874115,0.939334638
8,0.93562575,0.920666014,0.935251799,0.902111324,0.935251799,0.938123752
9,0.822249093,0.890207715,0.835380835,0.916496945,0.80888184,0.863723608
10,0.930942388,0.91954023,0.930587338,0.910683012,0.930587338,0.926916221
11,0.926283288,0.933706816,0.929512006,0.924214418,0.92236741,0.941619586
12,0.856820744,0.856378234,0.843819393,0.82616179,0.869565217,0.887245841
13,0.856812042,0.848806366,0.840272521,0.871143376,0.873328088,0.82616179
14,0.892789012,0.92506938,0.872483221,0.907441016,0.913348946,0.941619586
15,0.89498376,0.871050384,0.837272113,0.821256039,0.96049574,0.925589837
16,0.930942388,0.95409541,0.916604057,0.928196147,0.945003873,0.979667283
17,0.938573064,0.936093609,0.938215103,0.926916221,0.938215103,0.943738657
18,0.933480338,0.964685616,0.900070872,0.963855422,0.968726163,0.963855422
19,0.958959772,0.959843291,0.958570268,0.94049904,0.958570268,0.978043912
20,0.91877986,0.905209223,0.87966221,0.89678511,0.960799385,0.91222031
21,0.873330927,0.923593619,0.828199863,0.900163666,0.922959573,0.946643718
22,0.962044344,0.959040959,0.954511559,0.939334638,0.968962907,0.977596741
23,0.950209046,0.952380952,0.960799385,0.960451977,0.939143501,0.942698706
24,0.918178452,0.937223696,0.885082084,0.89678511,0.95311299,0.979667283
25,0.885158337,0.898258478,0.852314475,0.858143608,0.919904837,0.94049904
26,0.932437772,0.947476828,0.935765266,0.936863544,0.928402832,0.956340956
27,0.910068076,0.898258478,0.86335826,0.858143608,0.961392884,0.94049904
28,0.876585928,0.866489832,0.862982589,0.889292196,0.889929742,0.843373494
29,0.92772384,0.93244529,0.914245216,0.95890411,0.940919037,0.905730129
